Vehicle Type,Pickup Location,Drop Location,Booking Value,Ride Distance
Non-AC Taxi,Magadi Road,Ulsoor,0.0,0.0
Go Sedan,Hormavu,Hosur Road,1747.04,10.57
UberXL,Bellandur,Jayanagar,0.0,0.0
Premier,Frazer Town,Varthur,490.94,7.64
Uber Go,Electronic City,MG Road,314.84,2.99
Moto,Hosur Road,Vidyaranyapura,1245.25,19.01
Go Sedan,Kammanahalli,CV Raman Nagar,145.81,27.91
Non-AC Taxi,Domlur,Malleswaram,1868.58,26.6
Non-AC Taxi,BTM Layout,Magadi Road,0.0,0.0
UberXL,Anekal,Varthur,0.0,0.0
Go Sedan,Indiranagar,KR Puram,0.0,0.0
Moto,HSR Layout,Lingarajapuram,1967.74,26.95
eBike,Basavanagudi,Devanahalli,663.03,11.28
Moto,HSR Layout,Benson Town,0.0,0.0
Non-AC Taxi,Kammanahalli,Kengeri,0.0,0.0
Non-AC Taxi,Whitefield,Varthur,1865.26,3.38
UberXL,Bannerghatta Road,Sarjapur Road,1167.25,16.97
Moto,Malleswaram,Sadashivanagar,231.99,29.26
Non-AC Taxi,Benson Town,Kudlu Gate,0.0,0.0
Go Sedan,Bellandur,Indiranagar,1753.6,24.76
Uber Go,Yeshwanthpur,Vidyaranyapura,1485.47,4.71
Uber Go,Kammanahalli,HSR Layout,536.85,7.14
eBike,Cox Town,Frazer Town,0.0,0.0
UberXL,Whitefield,Sarjapur Road,1479.49,14.36
eBike,Mahadevapura,Richmond Town,469.14,7.7
Premier,BTM Layout,Sadashivanagar,0.0,0.0
Uber Go,Hebbal,Jayanagar,0.0,0.0
Uber Go,Sarjapur Road,Bellandur,1435.75,13.21
Premier,MG Road,RT Nagar,0.0,0.0
Uber Go,Devanahalli,Rajajinagar,1744.76,1.78
Premier,Vidyaranyapura,Ulsoor,708.85,28.06
Moto,Koramangala,Domlur,1939.15,21.84
UberXL,BTM Layout,Rajajinagar,453.69,18.99
UberXL,Koramangala,Mahadevapura,0.0,0.0
Premier,Marathahalli,KR Puram,199.18,29.05
UberXL,Vijayanagar,Hulimavu,0.0,0.0
eBike,Yelahanka,Bellandur,0.0,0.0
Go Sedan,Yeshwanthpur,Kudlu Gate,72.49,21.54
Go Sedan,Banashankari,KR Puram,1483.92,17.51
Moto,Magadi Road,Hormavu,0.0,0.0
eBike,Jayanagar,Yelahanka,341.42,7.34
Non-AC Taxi,Shivaji Nagar,Sadashivanagar,1435.72,8.34
Premier,Yelahanka,Bellandur,0.0,0.0
Go Sedan,Hormavu,Lingarajapuram,0.0,0.0
Premier,Sadashivanagar,Sadashivanagar,0.0,0.0
Premier,Whitefield,Electronic City,1213.09,23.38
Uber Go,Benson Town,Banashankari,0.0,0.0
Non-AC Taxi,Kudlu Gate,Sarjapur Road,806.81,3.4
Non-AC Taxi,Vijayanagar,Hulimavu,0.0,0.0
Non-AC Taxi,Malleswaram,Benson Town,867.95,5.12
Premier,Hennur,Vijayanagar,1798.52,19.82
eBike,Kudlu Gate,Bannerghatta Road,0.0,0.0
Premier,Jayanagar,KR Puram,953.26,8.36
eBike,Hennur,Kengeri,0.0,0.0
Moto,Dasarahalli,HSR Layout,1474.02,16.74
Uber Go,Hosur Road,Bommanahalli,1258.97,26.3
Non-AC Taxi,Hormavu,Devanahalli,0.0,0.0
UberXL,Ulsoor,Malleswaram,0.0,0.0
Uber Go,Indiranagar,Bommanahalli,781.62,17.63
Uber Go,Hosur Road,Nagarbhavi,0.0,0.0
Premier,Basavanagudi,Kammanahalli,574.55,11.22
eBike,Domlur,KR Puram,752.3,4.82
Premier,Anekal,Indiranagar,0.0,0.0
Go Sedan,Devanahalli,Kengeri,203.86,18.19
Uber Go,Sadashivanagar,Hosur Road,0.0,0.0
eBike,Cox Town,Bommanahalli,0.0,0.0
Moto,Hormavu,Bellandur,272.7,15.63
Uber Go,Indiranagar,Malleswaram,1041.25,6.38
Go Sedan,Domlur,Dasarahalli,1050.1,28.2
Premier,Cox Town,Ulsoor,1590.6,22.94
UberXL,Bellandur,Richmond Town,735.51,14.65
UberXL,Dasarahalli,Yeshwanthpur,1099.44,15.29
Uber Go,Domlur,BTM Layout,0.0,0.0
eBike,Bommanahalli,Kudlu Gate,1557.85,18.64
Uber Go,Benson Town,JP Nagar,1267.62,7.12
Non-AC Taxi,Shivaji Nagar,Ulsoor,1319.3,1.47
UberXL,Whitefield,Magadi Road,0.0,0.0
Non-AC Taxi,Hennur,Basaveshwaranagar,1663.98,27.09
eBike,HSR Layout,Shivaji Nagar,0.0,0.0
Uber Go,MG Road,Vidyaranyapura,0.0,0.0
Premier,Sadashivanagar,Mahadevapura,0.0,0.0
eBike,Marathahalli,Kengeri,0.0,0.0
Moto,Kadugodi,Vijayanagar,1608.9,18.03
Moto,Hulimavu,MG Road,0.0,0.0
UberXL,Nagarbhavi,Sarjapur Road,0.0,0.0
eBike,Benson Town,Varthur,1782.2,24.44
Premier,Rajajinagar,Domlur,0.0,0.0
UberXL,Basaveshwaranagar,Ulsoor,0.0,0.0
Premier,KR Puram,Nagarbhavi,1077.35,18.06
Uber Go,Hormavu,Kudlu Gate,0.0,0.0
Uber Go,Hosur Road,Lingarajapuram,0.0,0.0
Go Sedan,BTM Layout,CV Raman Nagar,817.98,24.03
Uber Go,Frazer Town,Lingarajapuram,0.0,0.0
Non-AC Taxi,Hebbal,Nagarbhavi,1475.71,29.98
Non-AC Taxi,Malleswaram,Yelahanka,343.39,4.15
Uber Go,Frazer Town,MG Road,0.0,0.0
eBike,Basavanagudi,Koramangala,0.0,0.0
Uber Go,Rajajinagar,Banashankari,0.0,0.0
UberXL,Sadashivanagar,Hennur,0.0,0.0
Uber Go,KR Puram,Anekal,1117.02,17.15
Non-AC Taxi,Hormavu,Banashankari,375.15,26.33
Go Sedan,Hosur Road,Lingarajapuram,1874.94,19.28
Premier,Kengeri,Indiranagar,1153.81,16.62
Uber Go,Kudlu Gate,Hebbal,1376.74,1.51
Non-AC Taxi,Kadugodi,Lingarajapuram,0.0,0.0
Uber Go,Marathahalli,Sadashivanagar,0.0,0.0
Premier,Domlur,Indiranagar,1536.11,19.45
Go Sedan,Mahadevapura,Basaveshwaranagar,1109.94,4.44
Non-AC Taxi,Kudlu Gate,Kudlu Gate,0.0,0.0
eBike,Marathahalli,Rajajinagar,708.16,13.66
Premier,Nagarbhavi,Varthur,0.0,0.0
Moto,Sarjapur Road,Bellandur,348.48,8.37
Moto,Kammanahalli,Cox Town,0.0,0.0
Moto,BTM Layout,Magadi Road,0.0,0.0
Non-AC Taxi,KR Puram,Richmond Town,355.86,29.16
Go Sedan,Vijayanagar,Hebbal,374.26,20.35
Go Sedan,Marathahalli,Cox Town,1583.02,17.41
Uber Go,Bommanahalli,Hosur Road,0.0,0.0
Moto,Kadugodi,Jayanagar,450.92,29.99
eBike,Devanahalli,Frazer Town,1799.65,7.73
UberXL,Frazer Town,Varthur,462.65,9.15
Non-AC Taxi,Koramangala,MG Road,731.72,8.61
UberXL,Hulimavu,Richmond Town,1292.32,21.86
eBike,MG Road,Ulsoor,1197.12,5.22
Premier,Yeshwanthpur,Basaveshwaranagar,625.83,9.08
eBike,Bannerghatta Road,Kadugodi,1525.11,11.54
Go Sedan,BTM Layout,Anekal,1145.18,23.8
eBike,Benson Town,Electronic City,1560.42,7.37
UberXL,Magadi Road,Frazer Town,0.0,0.0
Uber Go,CV Raman Nagar,Rajajinagar,654.19,16.73
Non-AC Taxi,JP Nagar,Shivaji Nagar,242.2,6.71
Uber Go,Indiranagar,Shivaji Nagar,0.0,0.0
Non-AC Taxi,Malleswaram,Dasarahalli,1256.7,25.16
UberXL,Shivaji Nagar,Magadi Road,324.75,11.27
Uber Go,Benson Town,Koramangala,1567.97,12.69
UberXL,Bommanahalli,Richmond Town,0.0,0.0
Non-AC Taxi,Ulsoor,Indiranagar,0.0,0.0
Moto,JP Nagar,Vijayanagar,1604.43,17.12
UberXL,Kadugodi,CV Raman Nagar,0.0,0.0
Go Sedan,Whitefield,Bannerghatta Road,716.92,18.71
Premier,BTM Layout,Kudlu Gate,0.0,0.0
Moto,Bannerghatta Road,Sarjapur Road,1030.84,21.14
Non-AC Taxi,Basavanagudi,Banashankari,0.0,0.0
Premier,Electronic City,Rajajinagar,595.87,22.39
Moto,Malleswaram,BTM Layout,1312.67,11.73
eBike,Marathahalli,Yelahanka,761.16,9.62
UberXL,Richmond Town,Banashankari,631.63,15.14
eBike,Hennur,Vijayanagar,739.05,24.83
Uber Go,Hebbal,BTM Layout,1985.68,27.03
Premier,Kammanahalli,Kudlu Gate,0.0,0.0
UberXL,Lingarajapuram,MG Road,0.0,0.0
eBike,Cox Town,Varthur,195.55,21.61
Non-AC Taxi,Dasarahalli,MG Road,408.1,16.05
eBike,Bannerghatta Road,Vijayanagar,1673.43,22.91
Premier,Yelahanka,Shivaji Nagar,0.0,0.0
UberXL,Vijayanagar,Magadi Road,249.0,9.29
Go Sedan,BTM Layout,Bommanahalli,1145.8,13.39
Moto,Hennur,Domlur,0.0,0.0
eBike,Hormavu,MG Road,1067.9,15.35
Premier,Domlur,Hulimavu,1932.49,4.91
eBike,HSR Layout,JP Nagar,945.8,11.67
UberXL,JP Nagar,Basavanagudi,1671.96,26.75
Non-AC Taxi,Kadugodi,Hosur Road,0.0,0.0
Moto,Hebbal,Electronic City,1476.63,23.2
Moto,Frazer Town,Indiranagar,1319.71,8.43
UberXL,Marathahalli,KR Puram,1423.86,22.01
Moto,Bannerghatta Road,Basavanagudi,1984.59,11.84
UberXL,Kadugodi,Lingarajapuram,0.0,0.0
Non-AC Taxi,Lingarajapuram,KR Puram,0.0,0.0
Premier,CV Raman Nagar,Kudlu Gate,0.0,0.0
Go Sedan,CV Raman Nagar,Hebbal,0.0,0.0
Uber Go,Malleswaram,HSR Layout,340.49,28.4
Uber Go,Hormavu,Rajajinagar,0.0,0.0
Premier,CV Raman Nagar,Hebbal,796.33,27.19
Non-AC Taxi,Electronic City,Hebbal,421.11,25.51
eBike,MG Road,JP Nagar,1972.43,14.11
Go Sedan,Devanahalli,Magadi Road,163.05,13.82
eBike,Domlur,Hebbal,390.92,22.18
Uber Go,Domlur,Yelahanka,555.83,13.8
UberXL,Hulimavu,Basavanagudi,782.96,3.87
UberXL,MG Road,Sadashivanagar,0.0,0.0
UberXL,Cox Town,Jayanagar,221.31,13.37
UberXL,Kadugodi,Basavanagudi,0.0,0.0
Uber Go,Yelahanka,Yeshwanthpur,462.14,19.68
Go Sedan,JP Nagar,Hulimavu,1981.74,21.92
Non-AC Taxi,Vidyaranyapura,Mahadevapura,0.0,0.0
Premier,KR Puram,Hosur Road,1136.23,14.98
Premier,Bellandur,Varthur,1405.65,13.54
Premier,Kengeri,Hormavu,0.0,0.0
Non-AC Taxi,Marathahalli,JP Nagar,133.88,13.44
Non-AC Taxi,Kammanahalli,Bellandur,0.0,0.0
Moto,Kudlu Gate,Yeshwanthpur,498.25,16.49
Non-AC Taxi,Electronic City,Hormavu,320.56,6.74
Premier,Mahadevapura,Koramangala,0.0,0.0
Uber Go,Richmond Town,Yeshwanthpur,0.0,0.0
Non-AC Taxi,Jayanagar,Shivaji Nagar,0.0,0.0
eBike,Basaveshwaranagar,Electronic City,1561.85,18.16
Premier,Shivaji Nagar,Richmond Town,0.0,0.0
Go Sedan,Marathahalli,Sarjapur Road,492.36,6.54
eBike,Bellandur,Indiranagar,1107.79,14.62
Uber Go,Rajajinagar,Lingarajapuram,1754.55,25.8
UberXL,Yeshwanthpur,BTM Layout,898.29,6.8
Non-AC Taxi,Marathahalli,Vidyaranyapura,1610.43,20.11
Premier,Sadashivanagar,Bellandur,0.0,0.0
UberXL,Nagarbhavi,Hebbal,0.0,0.0
Go Sedan,Hormavu,Yelahanka,1988.86,27.74
Non-AC Taxi,Sarjapur Road,Lingarajapuram,1945.33,13.76
UberXL,Banashankari,Lingarajapuram,0.0,0.0
Moto,Banashankari,Magadi Road,0.0,0.0
Non-AC Taxi,CV Raman Nagar,MG Road,1080.25,27.44
UberXL,Domlur,Hebbal,429.69,2.82
Moto,Shivaji Nagar,Malleswaram,359.48,14.51
Go Sedan,Lingarajapuram,Domlur,1407.25,16.41
Uber Go,Ulsoor,MG Road,0.0,0.0
Moto,Jayanagar,Hebbal,299.24,1.51
Uber Go,Kadugodi,MG Road,1826.62,25.43
Non-AC Taxi,Frazer Town,Hulimavu,0.0,0.0
Moto,BTM Layout,Hormavu,759.19,13.98
Premier,Electronic City,Shivaji Nagar,1671.09,8.78
Moto,Basaveshwaranagar,Bellandur,493.76,11.11
Non-AC Taxi,Devanahalli,Hormavu,1734.46,25.03
UberXL,Frazer Town,CV Raman Nagar,641.09,19.62
Uber Go,Yeshwanthpur,Nagarbhavi,840.89,20.3
Uber Go,Benson Town,JP Nagar,0.0,0.0
Moto,Yelahanka,Lingarajapuram,474.6,5.52
eBike,Basavanagudi,HSR Layout,470.97,14.88
Premier,Banashankari,Shivaji Nagar,0.0,0.0
eBike,Lingarajapuram,Kadugodi,0.0,0.0
Go Sedan,BTM Layout,Marathahalli,127.06,5.23
UberXL,Anekal,Malleswaram,208.58,23.68
Go Sedan,Mahadevapura,Basavanagudi,1899.57,2.94
Uber Go,Hebbal,Benson Town,0.0,0.0
Moto,Frazer Town,Mahadevapura,738.89,2.89
Go Sedan,Electronic City,Vidyaranyapura,1316.19,26.09
Uber Go,Bommanahalli,Domlur,0.0,0.0
eBike,Richmond Town,Devanahalli,0.0,0.0
Moto,Indiranagar,Hebbal,850.86,23.24
Non-AC Taxi,RT Nagar,Sarjapur Road,934.19,24.62
Non-AC Taxi,Koramangala,Frazer Town,675.71,12.54
Uber Go,Vijayanagar,MG Road,0.0,0.0
Moto,BTM Layout,Domlur,0.0,0.0
eBike,Varthur,HSR Layout,1773.13,20.31
UberXL,Hebbal,Benson Town,252.18,24.2
Go Sedan,Jayanagar,Richmond Town,0.0,0.0
Go Sedan,Kammanahalli,Richmond Town,1084.63,20.01
Non-AC Taxi,Basavanagudi,Domlur,188.78,12.27
Premier,MG Road,JP Nagar,188.9,11.2
Uber Go,Kudlu Gate,RT Nagar,1085.91,6.86
Moto,Vijayanagar,Frazer Town,0.0,0.0
Uber Go,Kudlu Gate,Richmond Town,1621.7,2.59
Premier,Yelahanka,RT Nagar,232.58,25.31
Non-AC Taxi,Koramangala,Marathahalli,847.8,16.35
Moto,Kadugodi,JP Nagar,1569.94,3.38
Non-AC Taxi,Yeshwanthpur,Richmond Town,1452.52,22.71
Non-AC Taxi,Marathahalli,Whitefield,1428.66,14.21
UberXL,Nagarbhavi,Anekal,154.46,3.76
Go Sedan,Kadugodi,CV Raman Nagar,1628.78,27.45
UberXL,Varthur,Banashankari,742.02,28.6
Moto,Hulimavu,Kammanahalli,0.0,0.0
UberXL,Hebbal,Bellandur,1589.22,26.21
UberXL,Ulsoor,Richmond Town,1245.32,18.46
eBike,Nagarbhavi,CV Raman Nagar,1925.67,7.76
Uber Go,Anekal,Kadugodi,907.3,6.86
Moto,Yeshwanthpur,Jayanagar,1978.27,1.72
Premier,Frazer Town,Richmond Town,1514.38,9.57
UberXL,Bannerghatta Road,Sadashivanagar,618.87,25.72
Go Sedan,Koramangala,Shivaji Nagar,1672.3,26.94
Premier,Vijayanagar,Banashankari,1714.91,11.44
Go Sedan,Yeshwanthpur,Jayanagar,0.0,0.0
Non-AC Taxi,Anekal,Hulimavu,0.0,0.0
Non-AC Taxi,Anekal,Sadashivanagar,0.0,0.0
Non-AC Taxi,Basavanagudi,Yeshwanthpur,912.44,9.87
UberXL,Indiranagar,Devanahalli,0.0,0.0
UberXL,RT Nagar,Benson Town,0.0,0.0
Premier,Shivaji Nagar,RT Nagar,0.0,0.0
Non-AC Taxi,Anekal,Magadi Road,1073.05,21.25
Premier,Marathahalli,Domlur,0.0,0.0
Non-AC Taxi,Jayanagar,Yeshwanthpur,0.0,0.0
eBike,Cox Town,Varthur,1779.32,21.99
Go Sedan,Shivaji Nagar,Basavanagudi,0.0,0.0
Premier,MG Road,Anekal,110.32,11.3
eBike,Hebbal,Dasarahalli,0.0,0.0
eBike,Banashankari,Kammanahalli,0.0,0.0
UberXL,BTM Layout,Rajajinagar,0.0,0.0
Go Sedan,Yelahanka,Sadashivanagar,1388.71,17.1
eBike,Shivaji Nagar,Hulimavu,600.2,25.42
UberXL,Yelahanka,Bellandur,1990.77,11.62
Uber Go,JP Nagar,Yeshwanthpur,1450.71,22.63
UberXL,Vijayanagar,Dasarahalli,1165.06,17.74
Go Sedan,HSR Layout,Yelahanka,689.58,17.49
Moto,Hulimavu,Rajajinagar,0.0,0.0
eBike,Bannerghatta Road,Electronic City,502.1,12.86
eBike,Yeshwanthpur,Varthur,0.0,0.0
Premier,Lingarajapuram,RT Nagar,0.0,0.0
eBike,Electronic City,Koramangala,1453.31,11.33
eBike,Kammanahalli,Dasarahalli,857.79,5.06
eBike,Cox Town,Whitefield,0.0,0.0
Moto,Hebbal,Vidyaranyapura,1164.52,6.07
Premier,Hulimavu,Varthur,843.22,13.13
UberXL,Marathahalli,Nagarbhavi,0.0,0.0
Moto,Shivaji Nagar,Kengeri,795.18,16.05
Go Sedan,Vidyaranyapura,JP Nagar,0.0,0.0
Uber Go,Devanahalli,Indiranagar,1987.88,19.47
Uber Go,Shivaji Nagar,Nagarbhavi,365.5,8.75
Go Sedan,Bannerghatta Road,Anekal,0.0,0.0
Premier,Bellandur,Mahadevapura,0.0,0.0
Non-AC Taxi,Kudlu Gate,Domlur,1144.52,13.74
Non-AC Taxi,Jayanagar,Kudlu Gate,820.63,11.6
Moto,Rajajinagar,Domlur,544.36,19.78
eBike,RT Nagar,Bannerghatta Road,1105.54,24.21
Non-AC Taxi,RT Nagar,Vijayanagar,1785.19,29.82
Go Sedan,MG Road,Kadugodi,0.0,0.0
UberXL,Banashankari,Devanahalli,0.0,0.0
Premier,Hormavu,Yeshwanthpur,0.0,0.0
Premier,Jayanagar,Frazer Town,593.31,16.14
Non-AC Taxi,Cox Town,Sadashivanagar,628.46,6.76
UberXL,Sarjapur Road,Benson Town,747.68,15.56
Premier,MG Road,Bannerghatta Road,1301.81,12.48
eBike,Indiranagar,Bannerghatta Road,847.71,2.39
Moto,Bannerghatta Road,JP Nagar,1143.18,29.73
Premier,CV Raman Nagar,Kadugodi,0.0,0.0
Moto,JP Nagar,Nagarbhavi,128.96,11.2
eBike,CV Raman Nagar,CV Raman Nagar,1491.49,28.27
Non-AC Taxi,Banashankari,KR Puram,691.58,22.4
Non-AC Taxi,Indiranagar,Bannerghatta Road,0.0,0.0
Go Sedan,Hebbal,RT Nagar,1532.07,6.27
Non-AC Taxi,Sarjapur Road,Frazer Town,1917.54,23.23
UberXL,Lingarajapuram,Yeshwanthpur,0.0,0.0
Go Sedan,Hosur Road,Devanahalli,0.0,0.0
Uber Go,Hennur,Anekal,1874.24,11.1
eBike,Hormavu,RT Nagar,1476.2,23.58
Uber Go,Electronic City,Sadashivanagar,1265.48,29.87
Premier,Yeshwanthpur,Yelahanka,1100.25,25.31
Moto,Basavanagudi,Banashankari,0.0,0.0
Premier,Kammanahalli,Hosur Road,1507.99,15.6
Non-AC Taxi,Indiranagar,Banashankari,0.0,0.0
Uber Go,Hosur Road,Dasarahalli,1106.1,28.04
Go Sedan,Rajajinagar,Sarjapur Road,0.0,0.0
Non-AC Taxi,Devanahalli,Kengeri,877.62,12.44
Uber Go,Mahadevapura,JP Nagar,1867.03,18.42
eBike,Bannerghatta Road,Frazer Town,1359.11,25.9
Premier,HSR Layout,Banashankari,1826.57,26.11
Premier,Koramangala,Kudlu Gate,0.0,0.0
UberXL,Kammanahalli,Kudlu Gate,1146.5,26.84
Non-AC Taxi,Jayanagar,Electronic City,0.0,0.0
Premier,Hosur Road,Hosur Road,1841.48,29.14
Non-AC Taxi,Kengeri,Hosur Road,0.0,0.0
Uber Go,Hosur Road,Hormavu,763.17,13.07
Uber Go,Yelahanka,Varthur,1486.87,1.61
UberXL,Banashankari,Sadashivanagar,993.92,16.25
Go Sedan,Yelahanka,RT Nagar,1809.06,2.81
Go Sedan,Kengeri,Varthur,838.62,16.8
Premier,Varthur,Anekal,0.0,0.0
eBike,Vidyaranyapura,Shivaji Nagar,54.9,6.23
Moto,Hebbal,Cox Town,0.0,0.0
Uber Go,Marathahalli,Yelahanka,1334.77,3.99
UberXL,JP Nagar,Bellandur,316.94,5.77
UberXL,Domlur,Electronic City,298.72,27.54
Uber Go,Banashankari,Lingarajapuram,453.61,23.0
UberXL,Anekal,Koramangala,1967.38,6.36
eBike,MG Road,Frazer Town,0.0,0.0
Non-AC Taxi,Koramangala,Basaveshwaranagar,0.0,0.0
Moto,Devanahalli,Bannerghatta Road,684.28,8.21
Non-AC Taxi,Malleswaram,Shivaji Nagar,0.0,0.0
eBike,Marathahalli,Hormavu,0.0,0.0
Go Sedan,Yeshwanthpur,Kadugodi,1146.17,9.5
Premier,Bannerghatta Road,Hormavu,175.09,11.74
Uber Go,Malleswaram,Varthur,58.65,23.43
Uber Go,Bommanahalli,Hormavu,1377.41,22.7
eBike,Devanahalli,Devanahalli,0.0,0.0
Uber Go,Koramangala,Rajajinagar,0.0,0.0
Premier,Cox Town,Frazer Town,854.99,6.66
Uber Go,Banashankari,Basavanagudi,1228.91,21.86
Uber Go,Indiranagar,Hormavu,661.99,28.89
Go Sedan,Sadashivanagar,Dasarahalli,1933.92,14.95
Premier,MG Road,Cox Town,1941.57,19.17
UberXL,Vidyaranyapura,Vidyaranyapura,0.0,0.0
eBike,Bannerghatta Road,JP Nagar,0.0,0.0
Go Sedan,Hennur,Varthur,657.9,6.02
Premier,Hulimavu,Anekal,1009.35,8.26
UberXL,Dasarahalli,Bannerghatta Road,0.0,0.0
Uber Go,Marathahalli,Yelahanka,1336.06,18.89
Non-AC Taxi,Rajajinagar,Benson Town,0.0,0.0
Go Sedan,Kadugodi,Malleswaram,840.41,20.64
Uber Go,Bommanahalli,Domlur,819.85,24.86
Premier,Malleswaram,JP Nagar,869.62,13.03
UberXL,Sadashivanagar,Nagarbhavi,0.0,0.0
UberXL,Richmond Town,Bellandur,1011.18,7.77
Uber Go,Malleswaram,Yelahanka,1685.61,26.25
Moto,Marathahalli,Kammanahalli,1720.37,8.2
Premier,Rajajinagar,Sarjapur Road,1919.09,3.7
UberXL,BTM Layout,Ulsoor,970.36,4.23
Go Sedan,Domlur,Sadashivanagar,0.0,0.0
Premier,Kudlu Gate,Sarjapur Road,0.0,0.0
eBike,Indiranagar,Basaveshwaranagar,244.91,29.2
eBike,Domlur,Richmond Town,0.0,0.0
Moto,Lingarajapuram,Yelahanka,1417.38,4.31
UberXL,Anekal,Kudlu Gate,0.0,0.0
Uber Go,Sadashivanagar,Mahadevapura,0.0,0.0
Non-AC Taxi,Benson Town,Mahadevapura,308.94,16.23
Uber Go,Varthur,Benson Town,274.08,26.38
Go Sedan,Bellandur,Cox Town,588.44,14.36
Moto,Varthur,Jayanagar,780.22,23.89
Moto,Yelahanka,Hennur,1692.9,8.93
Uber Go,Electronic City,Bellandur,165.79,11.07
Premier,Devanahalli,Yelahanka,1248.55,23.7
eBike,Lingarajapuram,CV Raman Nagar,1778.28,7.84
UberXL,Devanahalli,Hebbal,0.0,0.0
eBike,Yelahanka,Marathahalli,0.0,0.0
Go Sedan,Varthur,HSR Layout,0.0,0.0
eBike,BTM Layout,Benson Town,852.06,9.25
UberXL,Basaveshwaranagar,Basaveshwaranagar,0.0,0.0
Uber Go,BTM Layout,Yelahanka,433.98,1.91
Moto,Hulimavu,BTM Layout,1915.9,4.89
Go Sedan,KR Puram,Hosur Road,0.0,0.0
UberXL,Bellandur,Yelahanka,0.0,0.0
UberXL,Banashankari,Basavanagudi,0.0,0.0
Go Sedan,Ulsoor,Varthur,0.0,0.0
Premier,Vijayanagar,Ulsoor,1155.37,3.38
Moto,Kengeri,Yeshwanthpur,455.98,15.13
Go Sedan,Vidyaranyapura,Hulimavu,0.0,0.0
Non-AC Taxi,Devanahalli,Richmond Town,1472.44,25.53
Go Sedan,Jayanagar,Bellandur,1674.35,2.55
Moto,Domlur,Frazer Town,0.0,0.0
Go Sedan,KR Puram,Marathahalli,1511.04,10.04
UberXL,RT Nagar,Benson Town,0.0,0.0
Uber Go,Whitefield,Malleswaram,1702.45,28.17
Moto,MG Road,BTM Layout,0.0,0.0
Uber Go,Kengeri,Magadi Road,0.0,0.0
Moto,Nagarbhavi,Kammanahalli,1759.46,3.2
UberXL,HSR Layout,Vijayanagar,595.49,1.46
UberXL,Frazer Town,Bannerghatta Road,0.0,0.0
Go Sedan,Kadugodi,Nagarbhavi,1267.18,11.47
Moto,RT Nagar,Kudlu Gate,1642.32,22.86
Premier,Malleswaram,Malleswaram,978.92,16.94
Non-AC Taxi,BTM Layout,Ulsoor,653.64,28.49
Uber Go,Koramangala,MG Road,213.07,16.83
UberXL,Marathahalli,Bommanahalli,0.0,0.0
Premier,Ulsoor,Vidyaranyapura,690.46,24.57
Moto,Kengeri,Nagarbhavi,0.0,0.0
Uber Go,Hormavu,Hosur Road,0.0,0.0
Moto,Domlur,Rajajinagar,0.0,0.0
Uber Go,HSR Layout,Kengeri,0.0,0.0
Moto,Whitefield,Anekal,1941.11,23.56
Premier,Hosur Road,Jayanagar,268.42,16.24
Non-AC Taxi,Magadi Road,Varthur,0.0,0.0
Premier,Richmond Town,Anekal,1115.09,2.09
Moto,Shivaji Nagar,Electronic City,0.0,0.0
eBike,Bommanahalli,Marathahalli,0.0,0.0
Moto,Frazer Town,JP Nagar,0.0,0.0
eBike,Hennur,Shivaji Nagar,0.0,0.0
Uber Go,Basavanagudi,Nagarbhavi,0.0,0.0
Uber Go,Sarjapur Road,Sadashivanagar,317.86,18.54
UberXL,Malleswaram,Rajajinagar,1216.54,9.04
Premier,Sadashivanagar,Kudlu Gate,699.34,26.26
Moto,Bannerghatta Road,Marathahalli,1003.39,3.06
Moto,Lingarajapuram,Rajajinagar,824.34,11.01
Uber Go,Malleswaram,Kadugodi,1294.15,9.94
Moto,Jayanagar,Kadugodi,1775.4,23.66
Go Sedan,Hennur,Indiranagar,0.0,0.0
Uber Go,Vijayanagar,Nagarbhavi,1945.37,28.03
Moto,Vidyaranyapura,Ulsoor,947.52,5.41
Premier,Frazer Town,Hennur,428.27,16.97
Non-AC Taxi,Dasarahalli,Shivaji Nagar,334.29,22.85
Premier,Malleswaram,Dasarahalli,271.74,7.54
Uber Go,Kengeri,Yeshwanthpur,1092.05,12.27
Uber Go,Devanahalli,Kengeri,0.0,0.0
Moto,Banashankari,Jayanagar,0.0,0.0
eBike,Bellandur,Benson Town,1301.75,14.78
Premier,Sadashivanagar,Devanahalli,0.0,0.0
Moto,Banashankari,BTM Layout,639.16,28.27
Non-AC Taxi,Hulimavu,JP Nagar,849.98,8.16
UberXL,Magadi Road,Bommanahalli,1069.3,29.27
eBike,Nagarbhavi,Yelahanka,0.0,0.0
eBike,Koramangala,Kadugodi,1303.55,25.04
Uber Go,Koramangala,Electronic City,1070.82,4.72
eBike,Lingarajapuram,Mahadevapura,0.0,0.0
Uber Go,Kudlu Gate,Sarjapur Road,0.0,0.0
Non-AC Taxi,Yelahanka,Yeshwanthpur,1544.15,28.64
eBike,Kengeri,Banashankari,1510.71,27.69
Go Sedan,Whitefield,MG Road,588.43,17.85
UberXL,Richmond Town,Dasarahalli,0.0,0.0
Go Sedan,Sarjapur Road,Varthur,0.0,0.0
Non-AC Taxi,Marathahalli,Cox Town,1497.45,12.89
Non-AC Taxi,Electronic City,Hennur,1951.09,27.01
Moto,Magadi Road,Frazer Town,0.0,0.0
Moto,Basavanagudi,Hulimavu,1678.94,4.49
Premier,RT Nagar,Kammanahalli,0.0,0.0
Premier,Richmond Town,Malleswaram,1403.23,29.46
