Vehicle Type,Pickup Location,Drop Location,Ride Distance,Booking Value
Go Mini,Udyog Vihar Phase 4,Vatika Chowk,14.26,140.0
Uber XL,Ardee City,Azadpur,28.93,294.0
Auto,Qutub Minar,Govindpuri,41.64,330.0
Auto,Badarpur,Noida Sector 18,19.08,83.0
Auto,Badarpur,Noida Sector 18,19.08,83.0
Auto,Ardee City,Khandsa,25.14,543.0
Go Mini,Adarsh Nagar,Lok Kalyan Marg,9.99,518.0
Uber XL,Green Park,Akshardham,36.14,1086.0
Bike,Munirka,Nirman Vihar,28.84,592.0
Go Sedan,Vishwavidyalaya,Sultanpur,6.35,327.0
Premier Sedan,Golf Course Road,Ambience Mall,13.99,176.0
Go Sedan,Gurgaon Sector 56,Ashok Park Main,24.93,1328.0
Premier Sedan,Udyog Vihar,Sikanderpur,28.36,683.0
Premier Sedan,Udyog Vihar,Sikanderpur,28.36,683.0
Auto,Panchsheel Park,Khandsa,29.25,304.0
Go Sedan,Palam Vihar,IGI Airport,19.22,614.0
Go Sedan,Meerut,Paschim Vihar,15.19,85.0
Auto,Khan Market,Malviya Nagar,27.31,632.0
Auto,Dwarka Sector 21,Panchsheel Park,26.13,735.0
Premier Sedan,Vinobapuri,Badshahpur,4.91,826.0
Go Mini,Sikanderpur,Kashmere Gate,4.13,629.0
Go Sedan,Rajouri Garden,Udyog Bhawan,16.04,658.0
Uber XL,Rohini East,Patel Chowk,43.37,253.0
Auto,Noida Sector 18,Ardee City,11.55,478.0
Go Mini,Nawada,Lok Kalyan Marg,6.49,260.0
Auto,Satguru Ram Singh Marg,IFFCO Chowk,36.93,77.0
Uber XL,Adarsh Nagar,Kalkaji,11.23,327.0
Go Mini,Badshahpur,Noida Extension,22.73,204.0
Bike,Sadar Bazar Gurgaon,Vishwavidyalaya,5.21,383.0
Auto,Pataudi Chowk,Vinobapuri,45.75,358.0
eBike,Cyber Hub,Hauz Rani,20.05,431.0
Premier Sedan,Tughlakabad,Lok Kalyan Marg,43.18,364.0
Premier Sedan,Tughlakabad,Lok Kalyan Marg,43.18,364.0
Auto,Golf Course Road,Ambience Mall,30.77,214.0
Auto,Malviya Nagar,Badarpur,33.84,184.0
Premier Sedan,Ghitorni,Model Town,29.94,224.0
Auto,Botanical Garden,Malviya Nagar,23.28,59.0
Auto,Botanical Garden,Malviya Nagar,23.28,59.0
Go Sedan,Gurgaon Sector 29,Rajouri Garden,10.51,270.0
Go Sedan,Panchsheel Park,Jahangirpuri,5.63,383.0
Bike,Gurgaon Sector 29,Pitampura,36.77,440.0
Bike,Tilak Nagar,Barakhamba Road,24.95,632.0
Go Sedan,Kashmere Gate,Laxmi Nagar,44.61,492.0
Bike,Gurgaon Railway Station,Netaji Subhash Place,9.51,307.0
Bike,Palam Vihar,Ashok Vihar,43.01,805.0
Go Sedan,Shastri Nagar,Vaishali,7.13,362.0
Bike,Udyog Bhawan,Botanical Garden,21.35,331.0
Bike,Udyog Bhawan,Botanical Garden,21.35,331.0
eBike,Botanical Garden,Vinobapuri,41.17,891.0
Go Mini,Vinobapuri,Nehru Place,46.73,495.0
Auto,Manesar,Palam Vihar,10.76,764.0
Auto,Moti Nagar,Raj Nagar Extension,40.52,752.0
eBike,Paschim Vihar,Kirti Nagar,47.58,321.0
Uber XL,IFFCO Chowk,Khan Market,21.99,138.0
Auto,Saket,Saidulajab,28.52,638.0
Go Mini,Sarai Kale Khan,Sonipat,8.55,2070.0
eBike,Shastri Park,Vatika Chowk,28.27,737.0
Auto,Jasola,Connaught Place,6.97,600.0
Go Mini,Greater Kailash,Ghitorni,27.03,256.0
Go Mini,Faridabad Sector 15,Khandsa,19.25,907.0
Auto,ITO,Kalkaji,27.31,222.0
Auto,South Extension,Udyog Vihar,8.97,411.0
Go Mini,Noida Film City,Subhash Nagar,4.78,226.0
Auto,Samaypur Badli,INA Market,39.06,1280.0
Auto,Subhash Chowk,Rajiv Chowk,22.4,325.0
Go Sedan,Mehrauli,Ashok Vihar,40.64,410.0
Go Mini,Malviya Nagar,Lok Kalyan Marg,19.94,267.0
Go Sedan,Green Park,Rithala,36.53,226.0
Auto,Vaishali,Jasola,29.59,714.0
eBike,Seelampur,Jama Masjid,10.69,324.0
Bike,Rohini West,Kashmere Gate ISBT,31.01,448.0
Go Sedan,Nehru Place,GTB Nagar,11.42,376.0
Auto,Vidhan Sabha,Tilak Nagar,25.14,459.0
Go Sedan,Subhash Nagar,Pragati Maidan,28.84,173.0
Auto,Dwarka Mor,Narsinghpur,9.96,296.0
Bike,Ghitorni,New Delhi Railway Station,23.13,492.0
Go Mini,Munirka,Delhi Gate,20.2,261.0
Go Mini,Munirka,Delhi Gate,20.2,261.0
Auto,Karkarduma,Nawada,35.01,585.0
Auto,Sarai Kale Khan,Moti Nagar,21.94,474.0
Auto,Qutub Minar,Hauz Rani,25.64,549.0
Go Mini,Lok Kalyan Marg,Noida Film City,19.72,462.0
Go Mini,Lok Kalyan Marg,Noida Film City,19.72,462.0
Premier Sedan,Udyog Vihar,Saket,11.84,168.0
Premier Sedan,Connaught Place,Saidulajab,49.3,241.0
Auto,Ghitorni,Panchsheel Park,22.64,792.0
Go Mini,DLF City Court,Khan Market,27.67,243.0
Go Sedan,Munirka,Shivaji Park,33.87,299.0
Premier Sedan,Azadpur,Aya Nagar,37.3,332.0
Premier Sedan,Gurgaon Sector 56,Ghitorni Village,41.74,386.0
Bike,Nehru Place,Subhash Chowk,49.37,966.0
Auto,Rohini,Govindpuri,27.97,316.0
Go Sedan,Faridabad Sector 15,Paschim Vihar,19.83,402.0
Go Mini,Dwarka Mor,Palam Vihar,19.28,280.0
Go Mini,Dwarka Mor,Palam Vihar,19.28,280.0
Go Sedan,Greater Kailash,Barakhamba Road,37.27,1724.0
Go Mini,Noida Extension,Bahadurgarh,28.46,507.0
Go Mini,Jasola,Raj Nagar Extension,17.48,596.0
Go Mini,Barakhamba Road,Pulbangash,19.96,701.0
Bike,Shastri Nagar,Cyber Hub,2.42,769.0
Go Mini,DLF Phase 3,Okhla,8.97,1212.0
Go Mini,Ghitorni,Mayur Vihar,31.31,377.0
Auto,Vasant Kunj,Dwarka Mor,21.48,371.0
Bike,Jama Masjid,Nirman Vihar,24.02,127.0
Bike,Gwal Pahari,Old Gurgaon,34.47,490.0
Uber XL,Lok Kalyan Marg,Rohini West,9.1,1337.0
eBike,Nawada,Kashmere Gate,40.76,1409.0
Auto,Dwarka Mor,Vinobapuri,44.71,349.0
Bike,Ardee City,Udyog Vihar,16.86,141.0
Auto,Patel Chowk,Karkarduma,15.71,849.0
Premier Sedan,Arjangarh,DLF Phase 3,41.82,278.0
Premier Sedan,Arjangarh,DLF Phase 3,41.82,278.0
Go Mini,Tis Hazari,Ghaziabad,42.97,795.0
Bike,Sarai Kale Khan,Palam Vihar,18.18,975.0
Go Sedan,Kirti Nagar,Kaushambi,33.31,165.0
Auto,Anand Vihar ISBT,Hero Honda Chowk,41.83,1052.0
Go Mini,Kashmere Gate ISBT,Pulbangash,41.66,797.0
Auto,Kadarpur,IMT Manesar,22.33,667.0
Auto,DLF City Court,Dilshad Garden,23.46,980.0
Premier Sedan,Tilak Nagar,Udyog Vihar,16.27,216.0
Premier Sedan,Tilak Nagar,Udyog Vihar,16.27,216.0
Go Mini,Inderlok,Udyog Vihar,24.27,424.0
Auto,Central Secretariat,Ghaziabad,9.47,70.0
Go Mini,Nirman Vihar,Karkarduma,10.04,1967.0
Bike,Ashok Vihar,Sarojini Nagar,22.47,478.0
Bike,Ashok Vihar,Sarojini Nagar,22.47,478.0
Go Mini,Central Secretariat,Khan Market,38.15,297.0
Go Mini,Central Secretariat,Khan Market,38.15,297.0
Go Mini,Pataudi Chowk,Kashmere Gate ISBT,10.45,448.0
Go Mini,Connaught Place,Botanical Garden,23.61,188.0
Go Sedan,Chandni Chowk,Jahangirpuri,19.36,905.0
Go Sedan,Chandni Chowk,Jahangirpuri,19.36,905.0
Premier Sedan,Noida Sector 18,Pataudi Chowk,39.41,364.0
Bike,Indirapuram,Shastri Nagar,34.77,122.0
Auto,DLF City Court,IMT Manesar,16.21,635.0
eBike,Moti Nagar,Ghitorni Village,25.11,154.0
Auto,Dilshad Garden,Noida Film City,4.78,160.0
Auto,Dilshad Garden,Noida Film City,4.78,160.0
Go Mini,MG Road,Aya Nagar,36.51,75.0
Auto,Mandi House,Noida Sector 62,29.72,375.0
Go Mini,Rohini,Sikanderpur,44.26,601.0
Uber XL,Rithala,Ambience Mall,18.89,356.0
Go Sedan,Panchsheel Park,Seelampur,19.75,73.0
Go Mini,Seelampur,Kirti Nagar,26.6,405.0
Go Sedan,Delhi Gate,Sohna Road,34.03,114.0
Premier Sedan,Kalkaji,Vidhan Sabha,39.38,211.0
Go Mini,Huda City Centre,Noida Extension,18.63,111.0
Go Mini,Anand Vihar ISBT,Ghitorni,19.76,587.0
Uber XL,Jhilmil,South Extension,16.18,442.0
Go Sedan,Mehrauli,Narsinghpur,25.03,822.0
Bike,Paharganj,Dilshad Garden,13.26,659.0
Bike,Model Town,South Extension,24.7,612.0
Go Mini,Moolchand,Keshav Puram,28.04,993.0
Auto,Sikanderpur,Tagore Garden,39.38,315.0
Go Mini,Cyber Hub,Netaji Subhash Place,46.21,329.0
Auto,IGNOU Road,Keshav Puram,17.02,552.0
Uber XL,Basai Dhankot,New Colony,33.66,146.0
Go Mini,Chandni Chowk,Noida Sector 62,14.77,1207.0
Go Sedan,Ramesh Nagar,Mundka,46.42,637.0
eBike,Ghitorni,INA Market,28.87,3283.0
Bike,Kaushambi,Peeragarhi,43.54,572.0
Bike,Lajpat Nagar,Greater Kailash,15.21,230.0
eBike,Udyog Bhawan,Udyog Vihar Phase 4,45.15,910.0
Go Sedan,Ramesh Nagar,Bhiwadi,30.99,486.0
Auto,Mundka,Paharganj,45.06,369.0
Auto,Kashmere Gate ISBT,Nawada,7.98,313.0
Auto,Kashmere Gate ISBT,Nawada,7.98,313.0
Uber XL,Shivaji Park,Hauz Rani,20.55,696.0
Uber XL,Saidulajab,Badshahpur,13.76,359.0
Go Mini,Basai Dhankot,Laxmi Nagar,11.84,969.0
Auto,Panchsheel Park,Ashok Park Main,23.63,481.0
Go Sedan,Vinobapuri,Khandsa,37.21,642.0
eBike,Kherki Daula Toll,Nirman Vihar,30.15,417.0
Auto,MG Road,Maidan Garhi,26.8,489.0
Go Mini,Maidan Garhi,Green Park,13.37,172.0
Premier Sedan,Saket A Block,Malviya Nagar,18.98,175.0
Bike,Sonipat,Kashmere Gate,5.23,700.0
Premier Sedan,Rajiv Nagar,Panipat,25.47,72.0
Premier Sedan,Netaji Subhash Place,Meerut,38.24,98.0
Auto,Dwarka Sector 21,Narsinghpur,23.76,797.0
Bike,RK Puram,Tughlakabad,3.53,745.0
Go Sedan,Laxmi Nagar,Faridabad Sector 15,41.66,298.0
Go Mini,Lal Quila,Karol Bagh,6.38,1039.0
Auto,Punjabi Bagh,IGNOU Road,30.45,1289.0
Go Mini,Tis Hazari,Huda City Centre,14.99,226.0
Bike,Kherki Daula Toll,Anand Vihar ISBT,5.38,599.0
Bike,Green Park,Akshardham,15.88,187.0
Auto,Udyog Bhawan,Netaji Subhash Place,48.29,658.0
Premier Sedan,Govindpuri,Hauz Rani,23.78,572.0
eBike,Noida Film City,Janakpuri,41.89,83.0
Go Mini,Ghitorni Village,Saidulajab,11.95,944.0
Auto,Saket A Block,Old Gurgaon,46.76,239.0
Auto,Yamuna Bank,INA Market,4.17,457.0
Auto,Yamuna Bank,INA Market,4.17,457.0
Auto,Rajiv Chowk,Rohini,33.01,383.0
Go Sedan,Noida Film City,Janakpuri,3.4,128.0
Uber XL,Noida Film City,Bhiwadi,47.6,53.0
Uber XL,Vasant Kunj,Mehrauli,24.09,690.0
Premier Sedan,Tagore Garden,Hauz Rani,16.22,391.0
Go Mini,IMT Manesar,Sikanderpur,14.4,1364.0
Auto,Pataudi Chowk,Noida Extension,14.4,589.0
Bike,Bhiwadi,Rithala,21.01,1102.0
Bike,Bhiwadi,Rithala,21.01,1102.0
Auto,Dwarka Sector 21,Dwarka Mor,6.36,297.0
Bike,Kherki Daula Toll,Inderlok,18.07,513.0
Go Sedan,Barakhamba Road,Mayur Vihar,29.78,701.0
Go Sedan,Gwal Pahari,Udyog Vihar,2.58,1635.0
Go Sedan,Sultanpur,Hero Honda Chowk,17.52,958.0
Go Mini,Nawada,Noida Extension,45.75,235.0
Auto,Maidan Garhi,Rajiv Nagar,38.69,438.0
eBike,Madipur,Rohini West,43.02,434.0
Go Mini,IGNOU Road,Chanakyapuri,4.89,50.0
Go Mini,Ashok Vihar,Karol Bagh,34.94,956.0
Bike,Vasant Kunj,Bhikaji Cama Place,8.18,152.0
Bike,Vasant Kunj,Bhikaji Cama Place,8.18,152.0
Auto,Huda City Centre,IIT Delhi,25.97,60.0
Auto,Huda City Centre,IIT Delhi,25.97,60.0
Go Mini,India Gate,Mansarovar Park,39.0,299.0
Auto,Badarpur,Old Gurgaon,41.99,194.0
Go Mini,Peeragarhi,Bahadurgarh,14.82,935.0
Uber XL,Mandi House,Janakpuri,49.03,91.0
Auto,Kherki Daula Toll,Indirapuram,27.72,231.0
Auto,Narsinghpur,Yamuna Bank,18.5,416.0
Bike,IGI Airport,Panipat,42.34,1058.0
Auto,Chanakyapuri,Lok Kalyan Marg,44.54,71.0
Auto,Udyog Vihar Phase 4,Jama Masjid,22.28,937.0
Go Mini,Jama Masjid,Chanakyapuri,17.76,980.0
Auto,Anand Vihar ISBT,Rajiv Chowk,42.6,912.0
Auto,Chhatarpur,New Colony,39.15,920.0
Auto,Chhatarpur,New Colony,39.15,920.0
Bike,Udyog Vihar,Vishwavidyalaya,43.56,472.0
Go Sedan,Shastri Nagar,Shastri Park,48.23,139.0
Auto,Sadar Bazar Gurgaon,Noida Extension,36.89,340.0
Auto,Saket A Block,Karol Bagh,8.82,83.0
Auto,Ghitorni Village,South Extension,10.43,380.0
Auto,Ghitorni Village,South Extension,10.43,380.0
Auto,Botanical Garden,Rohini West,19.86,1349.0
Go Mini,Netaji Subhash Place,Noida Sector 62,42.9,725.0
Bike,Madipur,Govindpuri,48.39,1018.0
Auto,Seelampur,Kalkaji,34.92,242.0
Go Mini,Sushant Lok,India Gate,19.34,360.0
Bike,Shivaji Park,Noida Film City,32.32,796.0
Go Sedan,ITO,Mandi House,21.59,301.0
Auto,IGNOU Road,Noida Sector 62,22.63,54.0
Premier Sedan,MG Road,Botanical Garden,30.74,384.0
Go Mini,IIT Delhi,Ambience Mall,11.59,121.0
Bike,Moti Nagar,Janakpuri,48.84,851.0
Go Sedan,Sarai Kale Khan,Patel Chowk,36.25,307.0
Go Sedan,Sarai Kale Khan,Patel Chowk,36.25,307.0
Go Sedan,Dilshad Garden,Moolchand,21.65,738.0
Go Sedan,Dilshad Garden,Moolchand,21.65,738.0
Auto,Indirapuram,Kadarpur,41.85,236.0
Go Sedan,Tughlakabad,Ambience Mall,45.28,101.0
Go Sedan,Tughlakabad,Ambience Mall,45.28,101.0
Go Mini,Narsinghpur,Pataudi Chowk,41.86,601.0
Go Mini,Maidan Garhi,Palam Vihar,29.92,333.0
eBike,Bhikaji Cama Place,Manesar,12.14,693.0
Bike,Gwal Pahari,DLF City Court,23.04,791.0
Go Mini,Ashram,Nehru Place,46.19,591.0
Auto,Old Gurgaon,India Gate,32.23,365.0
Go Mini,Faridabad Sector 15,Kashmere Gate ISBT,44.58,201.0
Go Mini,Qutub Minar,Ashok Park Main,34.47,690.0
Uber XL,Okhla,New Colony,37.48,289.0
Uber XL,Okhla,New Colony,37.48,289.0
eBike,IFFCO Chowk,IIT Delhi,7.92,899.0
Go Mini,Moolchand,Peeragarhi,9.91,108.0
Go Mini,Jahangirpuri,Raj Nagar Extension,24.53,910.0
Bike,Rohini West,Vinobapuri,17.67,2095.0
Go Sedan,Paschim Vihar,Panipat,40.62,253.0
Auto,Basai Dhankot,Noida Film City,25.04,537.0
Go Mini,Karol Bagh,Dilshad Garden,30.26,372.0
Auto,Badshahpur,Dwarka Sector 21,9.2,458.0
Bike,Model Town,Gurgaon Railway Station,4.59,611.0
Auto,Anand Vihar ISBT,Badarpur,15.57,274.0
Go Sedan,Peeragarhi,Delhi Gate,37.66,259.0
Auto,Preet Vihar,Shahdara,33.41,274.0
Auto,Preet Vihar,Shahdara,33.41,274.0
Go Mini,Udyog Vihar,Nirman Vihar,7.54,241.0
Premier Sedan,Green Park,MG Road,11.76,977.0
Premier Sedan,Vaishali,Dwarka Mor,39.42,749.0
Premier Sedan,Vaishali,Dwarka Mor,39.42,749.0
eBike,Sushant Lok,Chanakyapuri,42.71,875.0
Auto,Noida Film City,Khan Market,29.75,871.0
Premier Sedan,Faridabad Sector 15,Pulbangash,8.48,613.0
Go Mini,Hauz Khas,Indraprastha,19.27,1592.0
Go Mini,Faridabad Sector 15,Chirag Delhi,43.55,853.0
Go Mini,Faridabad Sector 15,Chirag Delhi,43.55,853.0
Go Mini,Civil Lines Gurgaon,Subhash Chowk,49.26,499.0
Go Sedan,Sikanderpur,Rithala,33.01,462.0
Auto,Sushant Lok,Shahdara,26.73,318.0
Auto,Badarpur,Moolchand,6.82,882.0
Auto,Noida Sector 62,Lal Quila,22.83,1512.0
Auto,Noida Sector 62,Lal Quila,22.83,1512.0
Auto,Mandi House,Shastri Nagar,45.48,475.0
Auto,Badshahpur,Sushant Lok,9.52,417.0
Go Mini,Punjabi Bagh,Greater Noida,41.13,1075.0
Go Sedan,Pulbangash,Bahadurgarh,40.96,270.0
Auto,New Colony,Shastri Park,16.35,222.0
Auto,Ambience Mall,Basai Dhankot,48.43,407.0
eBike,Kanhaiya Nagar,Saket A Block,41.92,396.0
Uber XL,Peeragarhi,Dwarka Sector 21,39.29,78.0
Go Sedan,Karol Bagh,New Delhi Railway Station,15.18,99.0
Auto,DLF City Court,Raj Nagar Extension,28.89,539.0
Go Mini,Mehrauli,Ashram,42.25,274.0
Premier Sedan,Ghitorni Village,Udyog Vihar,24.66,138.0
Go Sedan,Govindpuri,Rajouri Garden,33.9,986.0
Go Sedan,Gurgaon Sector 56,Jhilmil,2.91,432.0
Auto,Rajiv Nagar,Noida Sector 18,47.34,197.0
Auto,Paharganj,Ardee City,10.19,104.0
Premier Sedan,Karkarduma,Nehru Place,37.43,853.0
Bike,IFFCO Chowk,Welcome,26.28,577.0
Go Mini,Golf Course Road,Badarpur,10.17,573.0
Auto,Mandi House,Munirka,26.91,487.0
Go Mini,IGI Airport,Udyog Vihar Phase 4,25.87,336.0
Auto,Saket,Basai Dhankot,36.25,346.0
Uber XL,Model Town,Gwal Pahari,6.21,499.0
Go Sedan,Palam Vihar,IIT Delhi,28.53,280.0
Bike,IIT Delhi,Chandni Chowk,17.46,305.0
Bike,Vishwavidyalaya,Kirti Nagar,10.07,709.0
Bike,Nehru Place,Bhikaji Cama Place,27.82,646.0
Go Sedan,Subhash Chowk,Karkarduma,17.91,965.0
Premier Sedan,Jhilmil,Madipur,17.26,326.0
Bike,Kaushambi,Kadarpur,27.57,708.0
Auto,Hauz Khas,Delhi Gate,49.94,406.0
Auto,Pataudi Chowk,Panchsheel Park,21.35,419.0
Go Sedan,Dwarka Mor,MG Road,41.93,483.0
Go Mini,Mehrauli,Jama Masjid,37.94,365.0
Go Sedan,Pataudi Chowk,Qutub Minar,43.37,348.0
Auto,Greater Kailash,Karol Bagh,2.19,1513.0
Go Sedan,Nehru Place,Badarpur,5.43,280.0
eBike,Sikanderpur,GTB Nagar,43.04,465.0
Auto,Tilak Nagar,Kashmere Gate,7.03,641.0
Premier Sedan,Satguru Ram Singh Marg,Noida Extension,20.02,486.0
Premier Sedan,Jasola,Anand Vihar ISBT,7.15,919.0
Go Mini,IMT Manesar,Greater Noida,11.8,406.0
Go Mini,Vaishali,Janakpuri,21.51,1809.0
Bike,Keshav Puram,Kashmere Gate,35.52,533.0
Go Sedan,Connaught Place,Noida Sector 62,39.3,948.0
Auto,India Gate,Maidan Garhi,18.75,692.0
Auto,Qutub Minar,Akshardham,3.17,396.0
eBike,Kaushambi,Govindpuri,26.42,1015.0
Auto,New Colony,Yamuna Bank,4.67,803.0
Go Mini,Tughlakabad,Ramesh Nagar,30.18,240.0
Go Mini,Samaypur Badli,Sarojini Nagar,40.96,267.0
Go Mini,Ashram,Vishwavidyalaya,32.37,1262.0
Go Mini,Ashram,Vishwavidyalaya,32.37,1262.0
Uber XL,Gurgaon Sector 29,Panchsheel Park,46.07,820.0
Premier Sedan,Sonipat,Ambience Mall,34.68,691.0
Auto,Uttam Nagar,Vinobapuri,11.89,288.0
Go Sedan,Jor Bagh,Hero Honda Chowk,38.56,1300.0
Premier Sedan,Maidan Garhi,Golf Course Road,31.72,470.0
Go Mini,Rajouri Garden,Anand Vihar,37.13,703.0
Go Sedan,Delhi Gate,Janakpuri,7.58,399.0
Go Sedan,Rithala,Badshahpur,26.09,177.0
Auto,Delhi Gate,Noida Extension,3.63,765.0
Go Mini,Gwal Pahari,Munirka,32.99,850.0
eBike,Cyber Hub,IGNOU Road,9.9,945.0
Go Mini,Anand Vihar ISBT,Pulbangash,16.58,909.0
Bike,Kirti Nagar,Badarpur,7.62,402.0
Premier Sedan,Pataudi Chowk,Rajiv Chowk,25.24,471.0
Go Mini,Connaught Place,Yamuna Bank,20.37,77.0
Auto,Mansarovar Park,Ashok Park Main,35.91,185.0
Bike,Greater Noida,Faridabad Sector 15,9.01,435.0
Go Mini,Ashram,Moti Nagar,13.89,478.0
Go Sedan,Sonipat,Paschim Vihar,46.16,981.0
Auto,Anand Vihar ISBT,Tilak Nagar,12.62,158.0
Auto,Badarpur,Netaji Subhash Place,37.29,609.0
Bike,Uttam Nagar,Vatika Chowk,47.49,205.0
Go Mini,Ashok Park Main,Rajiv Chowk,48.53,67.0
Premier Sedan,Rajiv Nagar,Botanical Garden,10.14,599.0
Auto,Badshahpur,IGI Airport,35.59,432.0
Auto,Ashram,Panipat,28.38,342.0
Auto,Ashram,Panipat,28.38,342.0
Auto,Subhash Chowk,Sultanpur,16.6,462.0
Bike,Seelampur,Ardee City,16.68,1188.0
eBike,Manesar,Rajiv Chowk,7.85,125.0
Go Mini,Inderlok,Huda City Centre,2.99,140.0
Go Sedan,Paharganj,Gurgaon Sector 29,37.64,436.0
Auto,Rajouri Garden,Ardee City,34.53,222.0
Bike,Rajiv Chowk,Seelampur,46.28,876.0
Auto,Adarsh Nagar,Qutub Minar,35.21,994.0
Auto,Bhiwadi,Kashmere Gate ISBT,27.18,467.0
Auto,Bhiwadi,Kashmere Gate ISBT,27.18,467.0
Go Mini,Model Town,IIT Delhi,13.9,243.0
Go Sedan,Sushant Lok,Vishwavidyalaya,26.74,372.0
Auto,Tis Hazari,Vasant Kunj,14.07,462.0
eBike,Ambience Mall,Saket,43.56,671.0
Auto,Chirag Delhi,Udyog Vihar,18.19,545.0
Premier Sedan,Kaushambi,RK Puram,33.8,405.0
eBike,ITO,Paschim Vihar,28.9,223.0
Auto,Kashmere Gate,Peeragarhi,47.91,1080.0
Go Sedan,Ramesh Nagar,Tis Hazari,43.67,411.0
Go Sedan,Kalkaji,Rajiv Nagar,41.48,397.0
Auto,Panchsheel Park,Central Secretariat,23.75,782.0
eBike,Dilshad Garden,Lok Kalyan Marg,24.34,627.0
eBike,Dilshad Garden,Lok Kalyan Marg,24.34,627.0
Bike,Pitampura,Adarsh Nagar,46.51,249.0
Bike,Pitampura,Adarsh Nagar,46.51,249.0
Go Mini,Panipat,Khandsa,25.67,839.0
Go Mini,Ghitorni Village,Panipat,34.97,368.0
Go Mini,Ghitorni Village,Panipat,34.97,368.0
Go Mini,Satguru Ram Singh Marg,Kherki Daula Toll,2.26,658.0
Bike,Barakhamba Road,Ashok Vihar,23.3,501.0
Bike,Shivaji Park,Greater Kailash,15.04,488.0
Uber XL,Karkarduma,Nawada,13.6,407.0
Uber XL,Karkarduma,Nawada,13.6,407.0
Go Sedan,Dwarka Mor,Ashram,36.86,273.0
Go Mini,Hauz Rani,Central Secretariat,6.59,142.0
Go Sedan,Mandi House,Kherki Daula Toll,27.18,137.0
Auto,Vidhan Sabha,Hauz Khas,8.1,521.0
Bike,Samaypur Badli,Old Gurgaon,43.64,467.0
Go Sedan,Punjabi Bagh,Noida Sector 62,26.14,374.0
Bike,Sarojini Nagar,Munirka,12.98,718.0
Auto,Janakpuri,Anand Vihar,16.86,1395.0
Go Mini,Arjangarh,Ambience Mall,33.6,743.0
eBike,Sultanpur,Tilak Nagar,45.78,352.0
Go Sedan,Vaishali,Hero Honda Chowk,20.92,739.0
Auto,Delhi Gate,Kashmere Gate,36.59,304.0
Go Mini,Subhash Nagar,Bhiwadi,17.17,689.0
Go Sedan,Ashok Vihar,Sikanderpur,30.72,603.0
eBike,Rajiv Chowk,Sushant Lok,38.75,437.0
Premier Sedan,Sarai Kale Khan,Jasola,31.27,325.0
Bike,Govindpuri,Palam Vihar,39.68,421.0
Bike,Govindpuri,Palam Vihar,39.68,421.0
Auto,Netaji Subhash Place,Sarai Kale Khan,38.09,1185.0
eBike,DLF Phase 3,Rohini,19.09,208.0
Go Sedan,Sikanderpur,Malviya Nagar,36.3,427.0
Auto,Shastri Nagar,Madipur,10.81,489.0
Go Sedan,Qutub Minar,Kashmere Gate ISBT,48.71,500.0
Premier Sedan,Keshav Puram,Vasant Kunj,31.23,103.0
eBike,Rohini,Kirti Nagar,6.52,495.0
Premier Sedan,Green Park,Kherki Daula Toll,24.08,158.0
Go Sedan,Jasola,Indirapuram,46.82,387.0
Go Sedan,Sikanderpur,Pataudi Chowk,44.62,746.0
Auto,India Gate,Hauz Khas,35.99,141.0
Auto,Okhla,New Colony,28.26,487.0
Go Mini,Seelampur,Tagore Garden,34.66,1236.0
Go Sedan,Ghaziabad,Anand Vihar ISBT,26.85,356.0
Auto,Tis Hazari,Rajouri Garden,7.11,308.0
Auto,Vaishali,Indirapuram,20.46,448.0
Uber XL,Netaji Subhash Place,Yamuna Bank,6.53,658.0
Go Mini,Jasola,Sushant Lok,26.45,161.0
Bike,Vidhan Sabha,Subhash Nagar,20.05,344.0
Premier Sedan,Moti Nagar,Inderlok,8.49,452.0
Go Sedan,Qutub Minar,Mandi House,24.23,477.0
Go Sedan,Rohini West,Dwarka Sector 21,26.01,93.0
Premier Sedan,Sohna Road,Yamuna Bank,16.48,101.0
Premier Sedan,Sohna Road,Yamuna Bank,16.48,101.0
eBike,Khan Market,Tagore Garden,41.6,594.0
Bike,Nehru Place,Kherki Daula Toll,3.34,648.0
Bike,Ardee City,Noida Film City,43.08,367.0
eBike,Udyog Vihar,Noida Sector 18,38.41,859.0
Bike,Ashok Park Main,Sadar Bazar Gurgaon,43.2,334.0
Bike,Ashok Park Main,Sadar Bazar Gurgaon,43.2,334.0
Go Sedan,Chandni Chowk,Tagore Garden,45.31,320.0
Bike,Tagore Garden,Kaushambi,5.62,926.0
eBike,Udyog Vihar Phase 4,Subhash Nagar,20.71,411.0
Go Mini,DLF City Court,New Colony,35.06,794.0
Go Sedan,Subhash Nagar,Vatika Chowk,39.41,207.0
Go Sedan,Lajpat Nagar,Sikanderpur,3.76,744.0
Auto,Rajouri Garden,IIT Delhi,36.64,1070.0
Auto,IGI Airport,Paharganj,20.95,226.0
Uber XL,Seelampur,Lajpat Nagar,25.11,2472.0
Bike,Munirka,Jhilmil,17.61,1403.0
Premier Sedan,Sonipat,Sohna Road,25.6,176.0
Bike,Lal Quila,IGI Airport,37.62,50.0
Auto,Tis Hazari,Rajiv Chowk,21.9,846.0
Bike,Connaught Place,Adarsh Nagar,34.5,481.0
Uber XL,Tughlakabad,Pataudi Chowk,7.35,356.0
Go Mini,Rohini,Mandi House,36.27,816.0
Go Mini,Rohini,Mandi House,36.27,816.0
